time,id,biliid,liveroom,type,game,grade,rank,link
2019/06/28 22:58:07,Sakura,Legendary魔理沙,,我要提交新项目的成绩,长空超翼神（圣战之翼）,第一档,12,http://ranking.niyaozao.com/#/?_k=yss9kp
2019/06/27 12:35:56,KAL,Kal-Koron,,我要更新原有成绩,绊地狱,第五档,1,http://ranking.niyaozao.com/#/rank/28?_k=3v0qq4
2019/06/24 22:39:35,zxl0714,zxl0714,,我要提交新项目的成绩,1945III,第五档,2,http://ranking.niyaozao.com/#/rank/11?_k=6255ds
2019/06/24 13:47:29,魔理沙唯一老公,大型制空朱元璋,,我要提交新项目的成绩,espgaluda,第一档,7,http://ranking.niyaozao.com/#/rank/23?_k=r4y6mj
2019/06/15 23:20:56,LYX-TEST,LYX-TEST,https://live.bilibili.com/12417?from=search&seid=5469603103885457274,我要提交新项目的成绩,怒首领蜂大往生黑,第五档,1,http://ranking.niyaozao.com/#/?_k=dvue12
2019/06/13 06:02:36,无敌实况,无敌实况,live.bilibili.com,我要更新原有成绩,战国世纪,第三档,2,http://ranking.niyaozao.com/#/rank/15?_k=82nizd
2019/06/12 21:27:45,xixifrank,嘻嘻frank,https://live.bilibili.com/269508,我要更新原有成绩,虫1original模式,第五档,1,http://ranking.niyaozao.com/#/rank/27?_k=2uxwqj
2019/06/10 23:01:52,Aquacot,lest_TAQ,live.bilibili.com/10028,我要更新原有成绩,1945III,第五档,1,http://ranking.niyaozao.com/#/rank/11?_k=cttpa3
2019/06/01 11:02:01,kl_cof,莉莉与冰淇淋,,我要提交新项目的成绩,虫姬Original,第一档,11,http://ranking.niyaozao.com/#/rank/27?_k=jn37k0
2019/05/31 23:25:47,HOP,一般路过小鬼,,我要提交新项目的成绩,绊地狱,第一档,15,http://ranking.niyaozao.com/#/delivery?_k=e3rlof
2019/05/31 23:07:15,bluewing,bluewing84,https://live.bilibili.com/12702,我要提交新项目的成绩,1945II,第四档,1,http://ranking.niyaozao.com/#/?_k=8jngj3
2019/05/31 23:00:16,无敌实况,无敌实况,http://live.bilibili.com/18511,我要提交新项目的成绩,战国世纪,第三档,2,http://ranking.niyaozao.com/#/rank/15?_k=4vq2y7
2019/05/31 21:52:28,Timeripper,Timeripper,,我要更新原有成绩,决意～绊地狱,第二档,7,http://ranking.niyaozao.com/#/rank/28?_k=wlv2pf
2019/05/31 21:46:43,无敌实况,无敌实况,http://live.bilibili.com/18511,我要更新原有成绩,打击者1945,第二档,2,http://ranking.niyaozao.com/#/rank/9?_k=ownnz3
2019/05/31 17:37:13,xtr10086,物吉厨一号,,我要提交新项目的成绩,绊地狱,第一档,4,http://ranking.niyaozao.com/#/rank/28?_k=zfdsd8
2019/05/31 10:35:20,DKA_darius,DKDKA,https://live.bilibili.com/22405,我要提交新项目的成绩,1945 III,第二档,2,http://ranking.niyaozao.com/#/?_k=0c1gtp
